video,caption,row_id,revised_caption,action_score,status,assigned_to,assigned_at,build_up,peak_start,peak_end,drop_off,peaks
downloaded_clips/8Yfm6gbKRho_20462.mp4,The cricket player hits a high pop fly that is caught.,20462,The moment when the guy throws the ball.,6.375132322311401,completed,,,5.562617,7.562727,7.696984,10.985605,"[{""build_up"": 5.562617, ""peak_start"": 7.562727, ""peak_end"": 7.696984, ""drop_off"": 10.985605, ""caption"": ""The moment when the guy throws the ball."", ""true_peak_start"": 47.082727000000006, ""true_peak_end"": 47.216984000000004}]"
downloaded_clips/73LjSLUZGZc_5356.mp4,Someone drives a forklift into bowling pins on the ground.,5356,The moment when the ball hits the bowling pins.,6.374922037124634,completed,,,6.041855,8.150809,8.720179,13.705705,"[{""build_up"": 6.041855, ""peak_start"": 8.150809, ""peak_end"": 8.720179, ""drop_off"": 13.705705, ""caption"": ""The moment when the ball hits the bowling pins."", ""true_peak_start"": 101.630809, ""true_peak_end"": 102.200179}]"
downloaded_clips/rulzKikXMHo_13498.mp4,"The man releases the metal ball, and it hits the male.",13498,The moment when guy punches the other guy.,6.34389066696167,completed,,,4.257128,7.219935,7.278633,9.609471,"[{""build_up"": 4.257128, ""peak_start"": 7.219935, ""peak_end"": 7.278633, ""drop_off"": 9.609471, ""caption"": ""The moment when guy punches the other guy."", ""true_peak_start"": 17.249935, ""true_peak_end"": 17.308633}]"
downloaded_clips/CaQkeVwKiUs_5626.mp4,The black man takes the head and puts his fingers into the nostrils of the head and rolls the head down the head between his legs where it rolls on to hit the last two standing pins.,5626,The moment when the head hits the last two standing pins.,6.333583831787109,completed,,,11.125854,16.206138,16.613344,18.494866,"[{""build_up"": 11.125854, ""peak_start"": 16.206138, ""peak_end"": 16.613344, ""drop_off"": 18.494866, ""caption"": ""The moment when the head hits the last two standing pins."", ""true_peak_start"": 100.33613799999999, ""true_peak_end"": 100.743344}]"
downloaded_clips/mtQUYdj2Ecg_11679.mp4,"He hits himself in the throat, falling backward.",11679,The moment when he hits himself in the throat.,6.320694923400879,completed,,,0.0,1.150586,1.692629,8.193607,"[{""build_up"": 0.0, ""peak_start"": 1.150586, ""peak_end"": 1.692629, ""drop_off"": 8.193607, ""caption"": ""The moment when he hits himself in the throat."", ""true_peak_start"": 11.610586000000001, ""true_peak_end"": 12.152629000000001}]"
downloaded_clips/EL47wkhiOq8_38263.mp4,The young boy serve the shuttlecock but it hit the net.,38263,The moment when the shuttlecock hits the net.,6.316041469573975,completed,,,0.06325,2.148801,2.336133,7.856167,"[{""build_up"": 0.06325, ""peak_start"": 2.148801, ""peak_end"": 2.336133, ""drop_off"": 7.856167, ""caption"": ""The moment when the shuttlecock hits the net."", ""true_peak_start"": -4.851198999999999, ""true_peak_end"": -4.663867}]"
downloaded_clips/ZNsX4KYJlVQ_35993.mp4,He hits the top of the wall and he goes over to reach for it and take it out.,35993,The moment when he touches the top of the wall.,6.3159019947052,completed,,,5.820573,9.76889,10.533333,10.533333,"[{""build_up"": 5.820573, ""peak_start"": 9.76889, ""peak_end"": 10.533333, ""drop_off"": 10.533333, ""caption"": ""The moment when he touches the top of the wall."", ""true_peak_start"": 9.26889, ""true_peak_end"": 10.033333}]"
downloaded_clips/u2329Chp6IY_10175.mp4,A green car spins around and hits a gray car.,10175,The moment when the green car hits the gray car.,6.308728694915772,completed,,,6.820593,7.577635,7.694209,10.244178,"[{""build_up"": 6.820593, ""peak_start"": 7.577635, ""peak_end"": 7.694209, ""drop_off"": 10.244178, ""caption"": ""The moment when the green car hits the gray car."", ""true_peak_start"": 57.567635, ""true_peak_end"": 57.684209}]"
downloaded_clips/7QxUtHqQdbY_22013.mp4,He uses a large ax to chop the log.,22013,The moment when the ax hits the log.,6.305163860321045,completed,,,4.576022,6.035933,6.323922,8.010113,"[{""build_up"": 4.576022, ""peak_start"": 6.035933, ""peak_end"": 6.323922, ""drop_off"": 8.010113, ""caption"": ""The moment when the ax hits the log."", ""true_peak_start"": 10.005933, ""true_peak_end"": 10.293922}]"
downloaded_clips/rgAALWYnRrg_8420.mp4,"Then, the girl swing the bat in the air, and in the second try  she hits the piñata and break it.",8420,The moment when the girl hits the piñata and breaks it.,6.300828695297241,completed,,,15.089157,20.041449,20.068718,23.845524,"[{""build_up"": 15.089157, ""peak_start"": 20.041449, ""peak_end"": 20.068718, ""drop_off"": 23.845524, ""caption"": ""The moment when the girl hits the pi\u00f1ata and breaks it."", ""true_peak_start"": 18.311449, ""true_peak_end"": 18.338718}]"
